Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
450212,"An American Art Student in Paris: The Letters of Kenyon Cox, 1877-1882",H Wayne Morgan,"Morgan, H Wayne",,"=""0873383338""","=""9780873383332""",0,4.50,The Kent State University Press,Hardcover,226,1986,1986,,2025/05/20,to-read,to-read (#84),to-read,,,,0,0
102030,Musashi,Eiji Yoshikawa,"Yoshikawa, Eiji","Charles S. Terry, Edwin O. Reischauer","=""4770019572""","=""9784770019578""",0,4.47,Kodansha International,Hardcover,970,1995,1935,,2025/02/28,currently-reading,currently-reading (#2),currently-reading,,,,1,0
7061365,Ten Lectures on Art,Edward John Poynter,"Poynter, Edward John",,"=""1103087231""","=""9781103087235""",0,4.00,Bibliolife,Paperback,300,2009,1977,,2025/04/14,currently-reading,currently-reading (#1),currently-reading,,,,1,0
770615,Death in the Afternoon,Ernest Hemingway,"Hemingway, Ernest",,"=""0684801450""","=""9780684801452""",4,3.67,Scribner,Paperback,488,2003,1932,2025/04/14,2025/02/05,,,read,"Although I enjoyed this book, I probably wouldn’t recommend it to most people. It contains what I guess is Hemingway’s every thought on bullfighting (and other things). You won’t enjoy those thoughts unless you enjoy listening to Hemingway or have some special interest in bullfighting. I do love how he deconstructs what makes a good bullfight. It’s very well done and an interesting analysis that occasionally diverges into other humorous stories. It goes on for 400 pages, so, instead of becoming bored, I would say that after a while you get your fill of it, like food in a meal, but once you settle and your appetite returns you’re ready for more. This is the manner in which I consumed and enjoyed the book.",,,1,0
20697410,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,"=""0345539818""","=""9780345539816""",4,4.48,Del Rey,Hardcover,447,2015,2015,2025/02/04,2025/01/05,,,read,"While the first book of this trilogy felt somewhat derivative of other pop fiction like The Hunger Games, this sequel is actually a great, dramatic space/sci-fi war novel. It kept me engaged and excited to read. Also, I honestly relish Darrow’s rage toward the upper echelons of society. This book isn’t any kind of actual social criticism (like The Dispossessed is), but his vindictive mood is topical for how I feel.",,,1,0
49455,Notes from Underground,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Donald Fanger, Larissa Volokhonsky, Richard Pevear","=""067973452X""","=""9780679734529""",0,4.17,Vintage Classics,Paperback,136,1994,1864,,2025/01/08,to-read,to-read (#83),to-read,,,,0,0
225468,Industrial Society and Its Future,Theodore John Kaczynski,"Kaczynski, Theodore John",,"=""""","=""""",0,3.85,,Paperback,149,1995,1995,,2025/01/02,to-read,to-read (#82),to-read,,,,0,0
10799,A Farewell to Arms,Ernest Hemingway,"Hemingway, Ernest",,"=""0099910101""","=""9780099910107""",5,3.82,Arrow Books,Paperback,293,2004,1929,2024/12/29,2024/11/30,,,read,"My second Hemingway read, who is quickly becoming one of my favorite authors. He maintains his efficient prose in this novel, and I sit comfortably in it while the protagonist, Mr. Henry, lives out the in-between moments of life where he is bored or talking with others or drinking, and it is comfortable because Hemingway so excellently writes and understands people. Then when catastrophe inevitably strikes, as it does in life, it feels visceral and important.  Perhaps my favorite read of 2024.<br/>",,,1,0
26537925,Vernacular Christian Rhetoric and Civil Discourse: The Religious Creativity of Evangelical Student Writers (Routledge Studies in Rhetoric and Communication),Jeffrey M Ringer,"Ringer, Jeffrey M",,"=""1138951684""","=""9781138951686""",0,4.75,Routledge,Hardcover,216,2016,2016,,2024/11/30,to-read,to-read (#81),to-read,,,,0,0
778861,Men Without Women,Ernest Hemingway,"Hemingway, Ernest",,"=""0099909308""","=""""",4,3.59,Arrow,Paperback,144,1994,1927,2024/11/30,2024/11/10,,,read,"Men Without Women is an anthology of short stories that are often ironic and dryly humorous. They’re about boxers, bullfighters, and old prize fighters or reflect Hemingway’s own experiences in WW1 and the Spanish Civil War. I really enjoyed the man’s man material, but behind Hemingway’s machismo subjects there are simple observations of humans and how they interact. In old fiction this gives a nice look into what kind of lives people lived (the early 20th/ late 19th century in this case). I personally enjoy getting the historical insight and parsing through what I call artifacts, which are just words or phrasing I don’t understand because how they’re being used no longer make sense in my modern senses.<br/><br/>About Hemingway’s writing, I think he’s very skilled at giving just enough information to make a scene work. I would even describe his writing as terse. It’s also heavy on dialogue, and an interesting feature of his dialogue is that he puts in repeated phrases or utterances that aren’t usually included in writing. I suppose that conflicts with my claim that he has terse prose, but Hemingway’s repetitive and circular dialogue feels like it’s used as a literary device rather than any kind of bloat.",,,1,0
58416952,"The Will of the Many (Hierarchy, #1)",James  Islington,"Islington, James",,"=""1982141190""","=""9781982141196""",0,4.60,Gallery / Saga Press,Kindle Edition,639,2023,2023,,2024/11/30,to-read,to-read (#80),to-read,,,,0,0
394535,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",0,4.16,Vintage Books,Paperback,351,2010,1985,,2024/11/24,to-read,to-read (#79),to-read,,,,0,0
52880778,"Red Rising (Red Rising, #1)",Pierce Brown,"Brown, Pierce",,"=""034553980X""","=""9780345539809""",3,4.27,Del Rey,Paperback,400,2014,2014,2024/11/10,2024/10/27,,,read,I almost want to rate this 4 stars. I'll see if the sequel takes it. This is a cool read with lots of action and drama.,,,1,0
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",0,3.92,HarperCollins,Paperback,197,1993,1988,2018/02/03,2019/09/12,,,read,,,,1,0
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",4,4.00,Alfred A. Knopf,Hardcover,241,2006,2006,2019/09/18,2019/09/18,,,read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",0,4.42,Ballantine Books,Hardcover,384,2014,2011,2014/08/15,2024/07/03,,,read,,,,1,0
59290743,Sea Oak,George Saunders,"Saunders, George",,"=""""","=""""",5,3.79,,Unknown Binding,22,,,2023/09/13,2023/09/13,,,read,Read this for class. It's a funny and meaningful satirical short-story on American culture that I very much enjoyed,,,1,0
19806916,The Long Waves In Economic Life (1935),Nikolai D. Kondratieff,"Kondratieff, Nikolai D.",,"=""116982899X""","=""9781169828995""",0,3.70,Kessinger Publishing,Paperback,28,2010,2010,,2024/10/07,to-read,to-read (#78),to-read,,,,0,0
207298023,Clay Footed Giants,Alain Chevarier,"Chevarier, Alain",Mark McGuire,"=""1545808414""","=""9781545808412""",0,3.43,Mad Cave Studios,Paperback,264,2024,2024,,2024/10/07,to-read,to-read (#77),to-read,,,,0,0
